Time (msec),A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Engine Load (Calculated) (g/rev),Engine Speed (rpm),IAM (4-byte)* (multiplier),Ignition Total Timing (degrees),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Mass Airflow Sensor Voltage (V),Throttle Opening Angle (%),Turbo Dynamics Integral (4-byte)* (absolute %),Turbo Dynamics Proportional (4-byte)* (absolute %),AEM UEGO Wideband [9600 baud] (AFR Gasoline),Manifold Relative Pressure (4-byte)* (psi relative),Knock Correction Advance (degrees),Fine Learning Knock Correction (4-byte)* (degrees),Feedback Knock Correction (4-byte)* (degrees)
975,-6.25,0.00,13.78,0.59,2543,1.0000,42.50,10,10,2.06,14.90,2.81,1.96,14.80,-6.15,0.00,0.00,0.00
1072,-5.47,0.00,13.78,0.59,2556,1.0000,43.00,10,10,2.06,15.29,2.81,1.66,14.80,-5.74,0.50,0.00,0.00
1168,-2.34,0.00,14.59,0.59,2564,1.0000,43.00,10,10,2.06,15.69,2.81,1.47,13.70,-5.59,0.50,0.00,0.00
1263,-1.56,0.00,14.93,0.58,2601,1.0000,43.00,10,10,2.06,15.69,2.81,1.27,14.60,-5.48,0.50,0.00,0.00
1356,-2.34,0.00,14.70,0.61,2614,1.0000,43.00,10,10,2.10,15.69,2.81,1.34,14.60,-5.44,1.00,0.00,0.00
1470,-2.34,0.00,14.59,0.61,2622,1.0000,43.50,10,11,2.10,15.69,2.81,1.29,15.00,-5.43,1.00,0.00,0.00
1568,-4.69,0.00,14.36,0.61,2650,1.0000,43.50,11,11,2.10,15.69,2.81,1.28,14.60,-5.46,1.00,0.00,0.00
1664,-7.81,0.00,14.01,0.61,2665,1.0000,43.50,11,10,2.10,15.69,2.81,1.31,14.60,-5.48,1.00,0.00,0.00
1759,-9.38,0.00,14.01,0.63,2677,1.0000,43.50,10,10,2.12,15.69,2.81,1.35,14.10,-5.50,1.00,0.00,0.00
1860,-11.72,0.00,13.90,0.59,2707,1.0000,43.50,10,10,2.10,15.69,2.81,1.40,14.10,-5.53,1.00,0.00,0.00
1950,-14.06,0.00,13.90,0.59,2708,1.0000,43.00,10,10,2.08,15.69,2.81,1.44,13.90,-5.58,0.50,0.00,0.00
2046,-14.06,0.00,14.13,0.59,2742,1.0000,43.00,10,11,2.10,15.69,2.81,1.42,13.80,-5.64,0.50,0.00,0.00
2158,-14.84,0.00,14.36,0.59,2748,1.0000,43.00,11,10,2.10,15.69,2.81,1.40,13.80,-5.70,0.50,0.00,0.00
2252,-17.19,0.00,14.13,0.59,2786,1.0000,43.50,10,10,2.10,15.69,2.81,1.44,14.20,-5.76,0.50,0.00,0.00
2347,-19.53,0.00,13.90,0.58,2784,1.0000,43.00,10,10,2.10,15.69,2.81,1.49,14.10,-5.80,0.50,0.00,0.00
2445,-21.09,0.00,14.01,0.59,2813,1.0000,43.00,11,10,2.10,15.69,2.81,1.63,14.10,-5.84,0.50,0.00,0.00
2540,-21.88,0.00,14.13,0.58,2813,1.0000,43.00,10,10,2.10,15.69,2.81,1.67,14.00,-5.81,0.50,0.00,0.00
2637,-22.66,0.00,14.24,0.59,2850,1.0000,43.00,10,10,2.14,15.69,2.81,1.65,14.00,-5.87,0.50,0.00,0.00
2732,-24.22,0.00,14.13,0.59,2861,1.0000,43.00,10,10,2.12,15.69,2.81,1.68,14.10,-5.87,0.50,0.00,0.00
2827,-25.00,0.00,14.13,0.60,2864,1.0000,43.00,11,10,2.14,15.69,2.81,1.67,14.20,-5.84,0.50,0.00,0.00
2939,-25.00,0.00,14.36,0.57,2895,1.0000,43.00,11,10,2.10,15.69,2.81,1.70,14.20,-5.91,0.50,0.00,0.00
3036,-25.00,0.00,14.36,0.57,2921,1.0000,43.00,10,11,2.12,15.69,2.81,1.86,14.30,-5.92,0.50,0.00,0.00
3130,-25.00,0.00,14.47,0.65,2918,1.0000,43.50,10,10,2.18,18.04,2.81,3.00,14.40,-5.13,1.00,0.00,0.00
3226,-14.06,0.00,14.01,0.71,2941,1.0000,44.50,10,11,2.32,20.78,2.81,3.00,14.40,-2.51,2.00,0.00,0.00
3321,-12.50,0.00,13.55,0.97,2992,1.0000,42.50,11,10,2.72,40.39,2.81,3.00,14.00,-0.09,2.50,0.00,0.00
3417,0.00,0.00,14.47,0.86,2976,1.0000,42.50,10,10,2.50,63.53,2.81,3.00,14.00,0.50,2.50,0.00,0.00
3532,0.00,0.00,14.47,0.88,3120,1.0000,42.50,11,10,2.56,96.86,2.81,3.00,15.70,0.77,2.50,0.00,0.00
3626,0.00,0.00,13.55,0.89,3025,1.0000,42.50,10,10,2.54,100.00,2.81,3.00,11.60,0.99,2.50,0.00,0.00
3720,0.00,0.00,14.13,0.87,3159,1.0000,42.50,11,10,2.58,100.00,2.81,3.00,11.60,1.24,2.50,0.00,0.00
3818,0.00,0.00,14.13,0.88,3138,1.0000,42.50,11,10,2.66,100.00,2.81,3.00,14.20,1.46,2.50,0.00,0.00
3912,0.00,0.00,14.36,0.90,3216,1.0000,42.50,10,10,2.72,100.00,2.81,3.00,14.30,1.69,2.50,0.00,0.00
4007,0.00,0.00,14.13,0.87,3258,1.0000,42.50,11,11,2.72,100.00,2.81,3.00,14.30,1.92,2.50,0.00,0.00
4104,0.00,0.00,14.13,0.89,3288,1.0000,42.50,10,10,2.70,100.00,2.81,3.00,14.30,2.14,2.50,0.00,0.00
4199,0.00,0.00,14.36,0.91,3329,1.0000,42.50,10,10,2.70,100.00,2.81,3.00,14.30,2.34,2.50,0.00,0.00
4310,0.00,0.00,14.36,0.92,3381,1.0000,42.50,10,11,2.76,100.00,2.81,3.00,14.40,2.53,3.00,0.00,0.00
4406,0.00,0.00,14.36,0.94,3417,1.0000,42.50,11,11,2.74,100.00,2.81,3.00,14.40,2.76,3.00,0.00,0.00
4501,0.00,0.00,14.47,0.90,3464,1.0000,42.50,10,11,2.80,100.00,2.81,3.00,14.40,2.98,3.00,0.00,0.00
4597,0.00,0.00,14.70,0.90,3528,1.0000,43.00,10,10,2.76,100.00,2.81,3.00,14.50,3.16,3.00,0.00,0.00
4693,0.00,0.00,15.04,0.91,3578,1.0000,43.00,11,10,2.72,100.00,2.81,3.00,15.30,3.36,2.50,0.00,0.00
4790,0.00,0.00,15.16,0.91,3628,1.0000,43.00,10,10,2.82,100.00,2.81,3.00,15.30,3.51,2.50,0.00,0.00
4886,0.00,0.00,15.73,0.94,3654,1.0000,42.50,10,10,2.86,100.00,2.81,3.00,15.50,3.72,3.00,0.00,0.00
4998,0.00,0.00,15.85,0.95,3733,1.0000,42.50,11,10,2.90,100.00,2.81,3.00,16.00,3.91,3.00,0.00,0.00
5093,0.00,0.00,15.73,1.04,3780,1.0000,42.00,10,10,2.92,100.00,2.81,3.00,16.00,4.19,3.50,0.00,0.00
5188,0.00,0.00,15.39,0.97,3839,1.0000,41.50,10,10,2.90,100.00,2.81,3.00,15.80,4.48,3.50,0.00,0.00
5282,0.00,0.00,14.81,1.14,3883,1.0000,40.50,10,11,3.00,100.00,2.81,3.00,15.80,4.78,4.00,0.00,0.00
5379,0.00,0.00,14.47,1.13,3960,1.0000,40.50,11,11,3.04,100.00,5.93,3.00,15.10,5.05,4.50,0.00,0.00
5475,0.00,0.00,14.01,1.14,4001,1.0000,40.00,10,11,3.08,100.00,12.18,3.00,14.20,5.39,4.50,0.00,0.00
5588,0.00,0.00,13.78,1.17,4078,1.0000,39.50,10,10,3.12,100.00,15.00,3.00,14.20,5.76,4.00,0.00,0.00
5683,0.00,0.00,13.90,1.16,4126,1.0000,39.50,10,11,3.16,100.00,15.00,3.00,13.90,6.04,4.00,0.00,0.00
5778,0.00,0.00,13.90,1.25,4178,1.0000,38.00,10,10,3.20,100.00,15.00,3.00,14.00,6.34,4.50,0.00,0.00
5874,0.00,0.00,14.13,1.24,4251,1.0000,36.50,11,11,3.22,100.00,15.00,3.00,14.00,6.73,4.50,0.00,0.00
5971,0.00,0.00,14.01,1.40,4316,1.0000,34.00,11,11,3.30,100.00,15.00,3.00,14.50,7.11,5.00,0.00,0.00
6063,0.00,0.00,14.13,1.51,4379,1.0000,28.50,11,11,3.44,100.00,15.00,3.00,14.40,7.68,5.50,0.00,0.00
6161,0.00,0.00,13.67,1.59,4486,1.0000,24.00,10,11,3.46,100.00,15.00,3.00,14.40,8.40,5.50,0.00,0.00
6273,0.00,0.00,13.09,1.84,4535,1.0000,23.00,10,11,3.54,100.00,15.00,3.00,13.70,9.34,9.00,0.00,0.00
6368,0.00,0.00,12.29,1.91,4598,1.0000,21.50,10,11,3.60,100.00,15.00,3.00,13.70,10.40,9.00,0.00,0.00
6464,0.00,0.00,11.60,2.05,4693,1.0000,21.00,9,10,3.70,100.00,15.00,3.00,12.00,11.58,9.50,0.00,0.00
6561,0.00,0.00,11.02,2.20,4786,1.0000,20.00,7,9,3.88,100.00,15.00,3.00,11.20,12.93,9.50,0.00,0.00
6655,0.00,0.00,11.02,2.25,4876,1.0000,19.50,5,7,3.94,100.00,15.00,3.00,11.20,14.64,9.50,0.00,0.00
6753,0.00,0.00,11.02,2.45,4946,1.0000,18.50,4,5,4.02,100.00,15.00,1.62,10.70,16.34,9.50,0.00,0.00
6847,0.00,0.00,11.02,2.52,5058,1.0000,18.00,4,4,4.10,100.00,15.00,0.78,10.50,17.97,9.50,0.00,0.00
6962,0.00,0.00,11.02,2.59,5113,1.0000,17.50,4,4,4.16,100.00,14.72,-1.38,10.50,18.93,9.50,0.00,0.00
7058,0.00,0.00,11.02,2.51,5250,1.0000,18.50,4,4,4.16,100.00,12.89,-1.89,10.40,19.13,9.50,0.00,0.00
7150,0.00,0.00,11.02,2.58,5299,1.0000,18.00,4,4,4.16,100.00,10.47,-2.16,10.40,19.33,9.50,0.00,0.00
7247,0.00,0.00,11.02,2.46,5466,1.0000,19.00,4,4,4.22,100.00,9.28,-2.07,11.00,19.07,9.50,0.00,0.00
7343,0.00,0.00,11.02,2.55,5521,1.0000,19.00,4,5,4.18,100.00,7.05,-1.92,11.50,19.00,9.50,0.00,0.00
7440,0.00,0.00,11.02,2.49,5645,1.0000,19.50,4,4,4.24,100.00,6.02,-1.80,11.50,18.79,9.50,0.00,0.00
7536,0.00,0.00,11.02,2.48,5716,1.0000,20.00,4,4,4.26,100.00,4.12,-1.61,11.60,18.63,9.50,0.00,0.00
7629,0.00,0.00,11.02,2.42,5870,1.0000,18.50,4,5,4.28,100.00,3.25,-1.55,11.50,18.47,7.50,0.00,-2.00
7740,0.00,0.00,11.02,2.52,5960,1.0000,18.50,4,5,4.32,100.00,1.78,-1.29,11.50,18.42,7.50,0.00,-2.00
7837,0.00,0.00,11.02,2.44,6043,1.0000,19.00,4,5,4.32,100.00,1.07,-1.09,11.70,18.20,7.50,0.00,-2.00
7933,0.00,0.00,11.02,2.43,6142,1.0000,20.00,4,5,4.34,100.00,-0.05,-1.03,11.80,17.94,7.50,0.00,-2.00
8028,0.00,0.00,11.02,2.39,6242,1.0000,21.00,4,5,4.38,100.00,-0.46,-1.16,11.80,17.68,7.50,0.00,-2.00
8125,0.00,0.00,11.02,2.38,6382,1.0000,21.50,4,5,4.34,100.00,-1.33,-0.79,12.00,17.43,7.50,0.00,-2.00
8220,0.00,0.00,11.02,2.35,6422,1.0000,20.00,4,4,4.38,100.00,-1.49,-0.20,12.00,17.35,5.50,0.00,-4.00
8316,0.00,0.00,11.02,2.37,6578,1.0000,20.50,4,4,4.38,100.00,-1.49,-0.29,11.60,17.33,5.50,0.00,-4.00
8427,0.00,0.00,11.02,2.29,6664,1.0000,21.00,4,4,4.36,100.00,-1.49,-0.30,12.20,17.19,5.50,0.00,-4.00
8523,0.00,0.00,11.02,2.30,6761,1.0000,19.00,4,4,4.38,100.00,-1.49,-0.09,12.20,17.29,3.50,0.00,-6.00
8619,0.00,0.00,11.02,2.22,6861,1.0000,19.50,5,5,4.38,100.00,-1.49,-0.17,12.20,17.16,3.50,0.00,-6.00
8714,0.00,0.00,11.02,2.25,6944,1.0000,19.50,5,4,4.38,100.00,-1.49,-0.29,12.30,17.17,3.50,0.00,-6.00
8811,0.00,0.00,11.02,2.16,6984,1.0000,20.00,4,4,4.38,89.80,-3.13,-3.00,12.30,16.75,3.50,0.00,-6.00
8907,0.00,0.00,11.02,2.12,7114,1.0000,20.50,5,5,4.36,61.57,-6.25,-3.00,12.20,16.00,3.00,0.00,-6.00
9003,0.00,0.00,11.02,1.80,7203,1.0000,22.00,5,5,4.18,49.41,-12.49,-3.00,12.20,9.07,2.00,0.00,-6.00
9113,0.00,0.00,11.71,1.44,7174,1.0000,23.50,7,5,3.78,44.71,-14.90,-3.01,12.20,4.31,-4.50,0.00,-6.00
9208,0.00,0.00,11.71,0.46,7164,1.0000,24.00,11,9,2.82,9.02,0.00,0.00,12.00,-8.55,0.00,0.00,0.00
9306,0.00,0.00,12.29,0.09,6920,1.0000,24.00,12,12,1.76,8.24,0.00,0.00,12.00,-10.71,0.00,0.00,0.00
9402,0.00,0.00,12.40,0.04,6741,1.0000,24.00,12,12,1.34,7.06,0.00,0.00,12.40,-11.56,0.00,0.00,0.00
9494,0.00,0.78,13.21,0.03,6509,1.0000,24.00,12,12,1.10,6.27,0.00,0.00,13.10,-11.65,0.00,0.00,0.00
9592,0.00,0.78,14.13,0.06,6328,1.0000,40.00,11,11,1.42,5.88,0.00,0.00,13.10,-11.73,0.00,0.00,0.00
9688,0.00,0.78,15.62,0.17,6105,1.0000,40.00,11,11,1.66,18.04,0.85,3.00,13.60,-5.35,0.00,0.00,0.00
9799,0.00,0.00,17.34,0.91,5448,1.0000,43.50,11,12,3.06,47.45,0.85,3.00,17.50,0.70,0.50,0.00,0.00
9894,0.00,0.00,19.98,1.17,5818,1.0000,37.00,11,11,3.38,86.67,0.85,3.00,17.50,2.31,1.50,0.00,0.00
9992,0.00,0.00,17.46,1.50,5578,1.0000,29.50,10,11,3.58,100.00,0.85,3.00,11.60,4.03,3.00,0.00,0.00
10086,0.00,0.00,15.27,1.71,5728,1.0000,25.00,11,10,3.72,100.00,3.97,3.00,11.60,5.94,4.50,0.00,0.00
10182,0.00,0.00,14.01,1.82,5704,1.0000,25.00,10,11,3.82,100.00,10.22,3.00,11.40,8.15,6.50,0.00,0.00
10277,0.00,0.00,13.09,2.07,5748,1.0000,23.00,8,9,4.02,100.00,15.00,3.00,10.60,10.54,9.50,0.00,0.00
10374,0.00,0.00,12.29,2.34,5809,1.0000,21.00,6,8,4.14,100.00,15.00,3.00,10.60,13.42,9.50,0.00,0.00
10485,0.00,0.00,11.60,2.55,5850,1.0000,20.00,5,7,4.28,100.00,15.00,2.47,10.20,16.33,9.50,0.00,0.00
10580,0.00,0.00,11.02,2.58,5878,1.0000,20.00,5,5,4.36,100.00,15.00,0.88,10.30,18.27,9.50,0.00,0.00
10674,0.00,0.00,11.02,2.50,5958,1.0000,20.00,4,5,4.30,100.00,13.80,-1.46,10.30,18.66,9.50,0.00,0.00
10773,0.00,0.00,11.02,2.43,6035,1.0000,19.00,4,4,4.34,100.00,12.93,-1.54,11.10,18.49,7.50,0.00,-2.00
10867,0.00,0.00,11.02,2.46,6072,1.0000,17.50,4,4,4.30,100.00,11.31,-1.47,11.10,17.88,5.50,0.00,-4.00
10965,0.00,0.00,11.02,2.15,6139,1.0000,22.00,4,4,4.28,34.51,8.19,-3.00,11.70,0.33,5.50,0.00,-4.00
11059,0.00,0.00,11.02,0.47,6012,1.0000,38.50,8,4,3.04,10.20,2.26,-3.00,11.20,-8.79,-4.00,0.00,-4.00
11171,0.00,0.00,11.60,0.24,6173,1.0000,40.50,11,11,1.90,9.41,1.79,0.43,11.20,-10.07,0.00,0.00,0.00
11268,0.00,0.00,12.29,0.05,6042,1.0000,40.00,11,12,1.32,9.41,1.79,0.83,12.80,-10.87,0.00,0.00,0.00
11362,0.00,0.00,12.29,0.08,6072,1.0000,40.00,11,11,1.54,9.80,1.79,1.58,14.50,-11.05,0.00,0.00,0.00
11458,0.00,0.00,12.75,0.11,6030,1.0000,40.00,11,11,1.66,9.80,1.79,1.73,14.50,-11.22,0.00,0.00,0.00
11553,0.00,0.00,13.55,0.11,5994,1.0000,24.00,11,11,1.68,9.80,1.79,1.89,12.90,-11.27,0.00,0.00,0.00
11651,0.00,0.78,14.47,0.06,5957,1.0000,24.00,11,11,1.30,9.80,0.00,0.00,12.90,-11.32,0.00,0.00,0.00
11747,0.00,0.00,16.19,0.07,5924,1.0000,24.00,11,11,1.52,9.80,0.00,0.00,13.70,-11.38,0.00,0.00,0.00
11857,0.00,0.00,18.38,0.09,5848,1.0000,24.00,11,12,1.56,9.80,0.00,0.00,16.60,-11.25,0.00,0.00,0.00
11953,0.00,0.00,20.44,0.10,5822,1.0000,24.00,11,11,1.58,9.80,0.00,0.00,16.60,-11.23,0.00,0.00,0.00
12048,0.00,0.00,20.44,0.12,5713,1.0000,24.00,11,11,1.64,9.80,0.00,0.00,18.40,-11.28,0.00,0.00,0.00
12144,0.00,0.00,20.44,0.11,5676,1.0000,24.00,11,12,1.60,9.80,0.00,0.00,18.40,-11.30,0.00,0.00,0.00
12240,0.00,0.00,20.44,0.13,5658,1.0000,24.00,11,11,1.68,9.80,0.00,0.00,18.40,-11.33,0.00,0.00,0.00
12336,0.00,0.00,20.44,0.11,5576,1.0000,24.00,11,11,1.66,9.80,0.00,0.00,18.40,-11.33,0.00,0.00,0.00
12433,0.00,0.00,20.44,0.13,5495,1.0000,24.00,11,11,1.64,9.80,0.00,0.00,18.40,-11.38,0.00,0.00,0.00
12543,0.00,0.00,20.44,0.14,5448,1.0000,24.00,11,11,1.70,9.80,0.00,0.00,18.40,-11.38,0.00,0.00,0.00
12637,0.00,0.00,20.44,0.14,5414,1.0000,24.00,11,10,1.70,9.80,0.00,0.00,18.40,-11.36,0.00,0.00,0.00
12736,0.00,0.00,20.44,0.13,5313,1.0000,24.00,11,11,1.66,9.80,0.00,0.00,18.40,-11.42,0.00,0.00,0.00
12829,0.00,0.00,20.44,0.14,5250,1.0000,24.00,11,11,1.68,9.80,0.00,0.00,18.40,-11.40,0.00,0.00,0.00
12938,0.00,0.00,20.44,0.14,5240,1.0000,24.00,11,10,1.72,9.80,0.00,0.00,18.40,-11.43,0.00,0.00,0.00
13022,0.00,0.00,20.44,0.14,5188,1.0000,24.00,11,11,1.70,9.80,0.00,0.00,18.40,-11.44,0.00,0.00,0.00
13117,0.00,0.00,20.44,0.15,5163,1.0000,24.00,11,11,1.72,9.80,0.00,0.00,18.40,-11.44,0.00,0.00,0.00
13230,0.00,0.00,20.44,0.15,5100,1.0000,24.00,10,11,1.72,9.80,0.00,0.00,18.40,-11.40,0.00,0.00,0.00
